S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
36040,15638,27222,25913,8519,28579,7743,53479,23150,20541,39139,369712,66263,35517,21651,21107,16858,29794,13590,6170,43032,23503,16781,45631,190962,78455
33482,11215,15633,10033,19334,18288,13012,34481,13210,19592,19707,316504,71837,36862,19380,24554,12294,28157,14439,9776,38949,20674,16168,51139,191064,78708
47063,18169,24173,11797,35178,30419,32276,62232,23250,34700,26134,406882,48609,51106,22073,26315,16513,29039,18531,10928,44601,28843,24725,55172,197496,88227
49452,29184,33471,11012,22090,21563,13279,41370,23824,33162,29073,364996,81271,41461,29752,37849,19412,32026,13476,11378,39004,27524,21048,51784,213565,101566
46636,18623,30444,26261,41330,20669,7253,31857,17384,26630,20047,280706,58194,37845,21189,35385,19934,29836,13982,6023,31193,26607,25394,46748,183091,110900
86925,47268,106180,77748,174574,66918,32093,61488,89480,60555,75948,621352,258234,65466,34983,71283,58731,76140,34477,12154,50692,63536,50118,77672,264223,230295
36115,23829,25521,30469,45330,21516,17696,34717,27644,38925,55021,590754,199295,39131,30125,33072,24469,36607,16154,9085,35235,34389,20457,61089,229524,123583
26530,24552,22223,14975,21119,13745,8852,43426,12939,31740,26986,323773,78196,29769,17958,33590,17245,28348,8752,10446,44523,32356,23120,132883,186569,97388
74508,48767,32297,55200,58708,48755,43214,167964,32139,33188,64259,557629,182910,51682,34271,55679,26600,44562,22714,21957,89210,38130,30864,-9475,257912,145952
47843,39974,36097,26667,44921,17831,8148,77938,34881,60602,72191,395923,98742,42298,23044,46971,18442,30483,13456,10445,47544,28076,24827,60750,234888,118674
50323,28846,29073,52148,68856,14590,6922,33184,34174,29949,31517,562841,116673,46574,31926,45886,18116,34919,15990,10304,38818,36478,26258,56940,272318,132530
193062,58234,102554,126559,154660,65252,41796,147649,84824,127214,194667,1652344,392191,88490,53379,94112,63016,94230,42810,20152,75094,84354,60508,203949,419286,305438
43556,20428,37465,15744,-2762,18534,5087,42576,25589,26930,25498,420316,81561,50816,23954,60745,19251,34098,14986,10844,51828,30255,20640,56663,210884,95963
49231,13473,39986,6367,39684,16840,15360,34074,18547,21336,16861,307926,43142,43745,18503,44618,14339,30163,19391,11161,41829,25942,25001,57579,206172,80941
52156,34134,43731,21316,37717,22282,57574,82983,21498,47617,27020,464686,73727,53938,22689,46620,18083,35517,27544,19399,46043,42029,28878,62030,209415,104795
73583,15097,40542,10598,83748,24869,29673,58607,33735,40951,41548,430882,85126,55814,26444,50846,23272,38806,16050,19637,47880,35864,34324,61336,234039,133243
44001,21527,50575,20498,84115,25289,11846,31705,38759,27904,25617,356442,82113,51715,20760,62964,20953,38271,24922,8163,36112,37653,30047,57576,213333,111608
97705,65779,159258,105763,127219,84145,46158,76732,104445,81232,67679,715361,313602,67692,49221,114847,63105,92241,40111,18342,51592,75080,56102,95235,313473,271372
48027,42530,34444,24245,53541,27164,12959,38763,39599,45419,40467,601423,258430,46091,31079,44296,28538,49026,17981,17006,41306,47119,25812,55620,254753,152562
27818,20199,23852,16705,35366,17810,16301,38391,24894,27627,20767,371660,85522,43754,22508,44473,18901,31839,13645,13969,43386,35413,26557,52073,196403,111659
72782,77417,48393,53871,65276,36546,48862,130078,34380,69277,56628,587169,192359,60144,33434,65575,31983,45278,27750,29748,84954,47180,41954,76080,258043,148706
68334,41921,42021,37192,66297,27630,12736,71383,47481,70879,57130,441125,150946,48675,31174,60070,24131,41272,20201,18480,50453,45761,31056,74590,254792,162061
54387,44279,45434,49165,74990,22588,14216,47882,38486,38906,44089,538079,149822,52377,31394,66517,22734,43372,24481,15170,39188,44919,35455,70346,296190,150659
211353,109042,150706,159404,185806,73155,54584,170895,90923,144159,223112,1882992,441137,109323,53094,118470,71407,119273,55176,30352,84770,103900,84788,225634,488006,355042
66870,16149,57321,23550,24140,15535,16061,35528,28424,36764,31053,456119,109551,53914,25470,59305,26028,43350,15920,11729,42286,42861,25975,59521,225892,115192
29703,15594,39483,5144,28394,19541,13410,37168,24639,34005,20012,348809,58642,51167,23723,50369,15781,35884,19686,17935,37221,38284,31018,66343,190758,93866
60389,33212,55353,17041,48377,38374,73326,74095,32938,47941,31651,541207,73556,68146,22908,62366,20961,36344,28647,26198,53910,48822,35805,55262,212731,117367
64218,21460,64768,13806,79854,24096,26758,38255,31860,31580,21137,463896,77969,61297,32034,58129,27905,42943,18205,13118,35413,45089,37579,61072,228575,137895
50209,10908,49280,30452,56671,24626,14676,41244,21539,35007,24007,382030,47012,48704,25210,47862,23015,36865,16952,12701,28945,32864,30049,48347,181357,111466
116962,74077,148947,97292,157707,65915,43158,66314,115181,104334,62670,795664,321797,67311,45133,96838,60515,109667,37973,23206,42614,75797,57142,89921,306465,266765
47121,22918,51271,15383,46977,19910,15338,26913,52824,60915,46494,662951,302768,42245,28027,38759,28397,42921,11850,14468,34937,47792,32109,56272,232026,151091
33099,33756,29591,14560,29785,17149,6881,29482,17189,40882,25977,294605,120971,37264,20675,28797,15453,31652,11913,12331,35109,32366,28439,54645,174779,112869
125000,56279,33647,62350,80419,33897,38010,133239,32650,62535,65844,651027,189434,62832,37870,45042,28229,48377,23833,28272,70246,44786,44075,82495,225382,151214
56984,59283,29839,22338,48670,17077,13795,73384,53713,84992,61716,383794,161416,48331,25244,40096,20855,33862,14580,13960,42542,39793,30168,54299,227334,146669
52332,45385,32262,84147,99040,26167,19541,27748,44703,51935,44906,560729,156461,53988,27812,42459,23943,41689,15837,14666,32660,45830,41950,64707,246289,157154
152142,104271,130096,104417,163063,39549,44990,125985,88426,112873,145135,1573704,331175,101675,54009,86897,49540,90128,26758,28634,64430,83524,62554,207464,401733,295086
158577,26846,62292,95298,60352,42114,25074,60077,82682,114043,72104,934956,229206,71850,31401,53248,47896,48377,22337,19862,49610,80142,45865,100439,258192,171289
42678,8299,22830,2886,16487,18345,28774,27521,19092,24777,20108,313673,65972,44094,17600,26708,10224,26816,15330,14112,34785,33567,23128,48869,163854,76674
42709,19319,42373,8000,35122,28264,33442,43854,23711,30380,13979,449804,46944,50324,18897,34674,13170,31394,20377,22009,41193,34895,27415,49183,176529,88965
54879,26368,41837,16670,45094,20187,26582,39648,34685,51785,32012,445026,86989,66985,29521,43299,26284,42416,14502,18532,33473,47695,37001,67633,207985,132815
40860,28045,29831,26558,37703,23094,12739,32510,17403,33656,19498,289235,65875,57605,23188,42711,22583,37690,18833,14197,31957,40387,33027,49417,194167,103466
139264,59726,148346,68194,147536,62463,36101,65411,94083,84467,48031,867953,296024,76798,41258,109236,54354,106225,35172,30265,56573,91640,58006,106651,301129,279588
55460,27695,73410,48435,45914,30500,15586,34403,75489,87039,73232,627944,346215,53671,30622,40232,31145,40909,20607,21458,51236,52110,37479,57837,240776,158157
39453,33182,30322,14647,34511,18575,15910,33098,18546,36245,19980,288326,62809,40173,19961,33623,18846,37421,12014,15029,48067,33407,31489,51054,174772,110911
81234,51077,39934,48636,80474,33878,41130,112523,31916,58761,51094,573638,168143,61323,41558,52863,27609,53733,17953,23260,80849,56169,43312,85133,271930,158498
90149,65755,63768,49224,66530,38600,31383,117000,59299,117572,99692,501403,195542,64052,31802,64242,26698,48528,28126,28019,53438,58468,50039,88035,290061,174090
67623,76665,39041,79676,95583,20569,18078,26997,64245,41092,29002,602467,138810,62434,31655,49153,25650,49149,19696,18178,35069,53339,39214,68153,269776,165379
191442,130071,163850,122755,239658,53743,50392,136239,102678,147932,179396,1670828,517186,99078,57921,96422,60167,92828,31982,34707,66703,103817,74202,221487,463767,319414
189850,30408,75890,116093,54935,34372,25163,62604,95997,123036,75503,1024881,177805,90568,39575,58168,55094,75813,32226,29424,56885,89973,60104,88557,311301,204818
34592,13713,18757,3083,29498,23189,23046,39279,16701,33544,11431,326547,57189,54997,20174,34688,11016,40720,18610,13081,41768,38038,25092,57881,182037,91292
