date,count
2011-03-01,8583
2011-03-02,8561
2011-03-03,8406
2011-03-04,7921
2011-03-05,5597
2011-03-06,6400
2011-03-07,8043
2011-03-08,8666
2011-03-09,8344
2011-03-10,8344
2011-03-11,8017
2011-03-12,5756
2011-03-13,6294
2011-03-14,8210
2011-03-15,8882
2011-03-16,8849
2011-03-17,8611
2011-03-18,8160
2011-03-19,6068
2011-03-20,6485
2011-03-21,8596
2011-03-22,9240
2011-03-23,9005
2011-03-24,8653
2011-03-25,8288
2011-03-26,6317
2011-03-27,6793
2011-03-28,9369
2011-03-29,8589
2011-03-30,9100
2011-03-31,9013
2011-04-01,8439
2011-04-02,6142
2011-04-03,6703
2011-04-04,9516
2011-04-05,9736
2011-04-06,9370
2011-04-07,9178
2011-04-08,8862
2011-04-09,6183
2011-04-10,6798
2011-04-11,9661
2011-04-12,9498
2011-04-13,9668
2011-04-14,9651
2011-04-15,9052
2011-04-16,6559
2011-04-17,6826
2011-04-18,9243
2011-04-19,9787
2011-04-20,9259
2011-04-21,9090
2011-04-22,7812
2011-04-23,6081
2011-04-24,6106
2011-04-25,7975
2011-04-26,9656
2011-04-27,9090
2011-04-28,8600
2011-04-29,9050
2011-04-30,6073
2011-05-01,6554
2011-05-02,8287
2011-05-03,9763
2011-05-04,10105
2011-05-05,10113
2011-05-06,9085
2011-05-07,6286
2011-05-08,6674
2011-05-09,9810
2011-05-10,9390
2011-05-11,10237
2011-05-12,9630
2011-05-13,9248
2011-05-14,6785
2011-05-15,7197
2011-05-16,9794
2011-05-17,10042
2011-05-18,9978
2011-05-19,10032
2011-05-20,8662
2011-05-21,6172
2011-05-22,6423
2011-05-23,10039
2011-05-24,10487
2011-05-25,10291
2011-05-26,10188
2011-05-27,8773
2011-05-28,6323
2011-05-29,6728
2011-05-30,8663
2011-05-31,10047
2011-06-01,10183
2011-06-02,9305
2011-06-03,9493
2011-06-04,6682
2011-06-05,7043
2011-06-06,9619
2011-06-07,10108
2011-06-08,10330
2011-06-09,9792
2011-06-10,9287
2011-06-11,6432
2011-06-12,6278
2011-06-13,9515
2011-06-14,10155
2011-06-15,9979
2011-06-16,9880
2011-06-17,9855
2011-06-18,6356
2011-06-19,7028
2011-06-20,10335
2011-06-21,10383
2011-06-22,10391
2011-06-23,7190
2011-06-24,9613
2011-06-25,5890
2011-06-26,6256
2011-06-27,8825
2011-06-28,10263
2011-06-29,10628
2011-06-30,10043
2011-07-01,9403
2011-07-02,6294
2011-07-03,6485
2011-07-04,8954
2011-07-05,9672
2011-07-06,10488
2011-07-07,10199
2011-07-08,9300
2011-07-09,6544
2011-07-10,6898
2011-07-11,10087
2011-07-12,10623
2011-07-13,10201
2011-07-14,9771
2011-07-15,9339
2011-07-16,6690
2011-07-17,7059
2011-07-18,10367
2011-07-19,10123
2011-07-20,10370
2011-07-21,10296
2011-07-22,9479
2011-07-23,6667
2011-07-24,6929
2011-07-25,9924
2011-07-26,10840
2011-07-27,10588
2011-07-28,10195
2011-07-29,9688
2011-07-30,6070
2011-07-31,6858
2011-08-01,9822
2011-08-02,10529
2011-08-03,10392
2011-08-04,10498
2011-08-05,9775
2011-08-06,6653
2011-08-07,6361
2011-08-08,10287
2011-08-09,10742
2011-08-10,10086
2011-08-11,10391
2011-08-12,9614
2011-08-13,6835
2011-08-14,6912
2011-08-15,10075
2011-08-16,10949
2011-08-17,11041
2011-08-18,10742
2011-08-19,10146
2011-08-20,6424
2011-08-21,7248
2011-08-22,10650
2011-08-23,11171
2011-08-24,11385
2011-08-25,10968
2011-08-26,10179
2011-08-27,7129
2011-08-28,7341
2011-08-29,10953
2011-08-30,11251
2011-08-31,11103
2011-09-01,11120
2011-09-02,10610
2011-09-03,7280
2011-09-04,7798
2011-09-05,10391
2011-09-06,11625
2011-09-07,11869
2011-09-08,11653
2011-09-09,10962
2011-09-10,7616
2011-09-11,8209
2011-09-12,11410
2011-09-13,12278
2011-09-14,12162
2011-09-15,11739
2011-09-16,11476
2011-09-17,7297
2011-09-18,8467
2011-09-19,11276
2011-09-20,11934
2011-09-21,12059
2011-09-22,12279
2011-09-23,11209
2011-09-24,7928
2011-09-25,8584
2011-09-26,12586
2011-09-27,13016
2011-09-28,12805
2011-09-29,12525
2011-09-30,11612
2011-10-01,7829
2011-10-02,8493
2011-10-03,11934
2011-10-04,12469
2011-10-05,12576
2011-10-06,12347
2011-10-07,11916
2011-10-08,8281
2011-10-09,8830
2011-10-10,12618
2011-10-11,13105
2011-10-12,12897
2011-10-13,12674
2011-10-14,11783
2011-10-15,8104
2011-10-16,8805
2011-10-17,12899
2011-10-18,13196
2011-10-19,13200
2011-10-20,13142
2011-10-21,12269
2011-10-22,8506
2011-10-23,9133
2011-10-24,13230
2011-10-25,13364
2011-10-26,13443
2011-10-27,11080
2011-10-28,10718
2011-10-29,7997
2011-10-30,8613
2011-10-31,12319
2011-11-01,12598
2011-11-02,13218
2011-11-03,12805
2011-11-04,12883
2011-11-05,8569
2011-11-06,9090
2011-11-07,11174
2011-11-08,14122
2011-11-09,12036
2011-11-10,12966
2011-11-11,12005
2011-11-12,8419
2011-11-13,9036
2011-11-14,12804
2011-11-15,13378
2011-11-16,12693
2011-11-17,13360
2011-11-18,11744
2011-11-19,8190
2011-11-20,9690
2011-11-21,12145
2011-11-22,13212
2011-11-23,13477
2011-11-24,12085
2011-11-25,10505
2011-11-26,8705
2011-11-27,9648
2011-11-28,13613
2011-11-29,14272
2011-11-30,13957
2011-12-01,14827
2011-12-02,13591
2011-12-03,9827
2011-12-04,10540
2011-12-05,14286
2011-12-06,14420
2011-12-07,13800
2011-12-08,13077
2011-12-09,13409
2011-12-10,9537
2011-12-11,9686
2011-12-12,14003
2011-12-13,13616
2011-12-14,13695
2011-12-15,13702
2011-12-16,13328
2011-12-17,8779
2011-12-18,9541
2011-12-19,13250
2011-12-20,12924
2011-12-21,12238
2011-12-22,11812
2011-12-23,10407
2011-12-24,6600
2011-12-25,5670
2011-12-26,7446
2011-12-27,9742
2011-12-28,10019
2011-12-29,10927
2011-12-30,10146
2012-01-01,6587
2012-01-02,10254
2012-01-03,12412
2012-01-04,11806
2012-01-05,13030
2012-01-06,13081
2012-01-07,9688
2012-01-08,9682
2012-01-09,12389
2012-01-10,12888
2012-01-11,14916
2012-01-12,13966
2012-01-13,13629
2012-01-14,9862
2012-01-15,10764
2012-01-16,14066
2012-01-17,14636
2012-01-18,14308
2012-01-19,14301
2012-01-20,13525
2012-01-21,10410
2012-01-22,10384
2012-01-23,14114
2012-01-24,14996
2012-01-25,14904
2012-01-26,14957
2012-01-27,15145
2012-01-28,11182
2012-01-29,11845
2012-01-30,15747
2012-01-31,16974
2012-02-01,16410
2012-02-02,15344
2012-02-03,15275
2012-02-04,10634
2012-02-05,11996
2012-02-06,13976
2012-02-07,14838
2012-02-08,15306
2012-02-09,15598
2012-02-10,14349
2012-02-11,11061
2012-02-12,12209
2012-02-13,13869
2012-02-14,15581
2012-02-15,13850
2012-02-16,15864
2012-02-17,15855
2012-02-18,11506
2012-02-19,12713
2012-02-20,15871
2012-02-21,18141
2012-02-22,18658
2012-02-23,18336
2012-02-24,17493
2012-02-25,13047
2012-02-26,13470
2012-02-27,18588
2012-02-28,19337
2012-02-29,18919
2012-03-01,16831
2012-03-02,16858
2012-03-03,12768
2012-03-04,11378
2012-03-05,17247
2012-03-06,19299
2012-03-07,19070
2012-03-08,18345
2012-03-09,17563
2012-03-10,4558
2012-03-11,11403
2012-03-12,19012
2012-03-13,19453
2012-03-14,18612
2012-03-15,18516
2012-03-16,17712
2012-03-17,12388
2012-03-18,13136
2012-03-19,19017
2012-03-20,19748
2012-03-21,19332
2012-03-22,19193
2012-03-23,17920
2012-03-24,12753
2012-03-25,13249
2012-03-26,19124
2012-03-27,19509
2012-03-28,19821
2012-03-29,19472
2012-03-30,18427
2012-03-31,13115
2012-04-01,13515
2012-04-02,18399
2012-04-03,19605
2012-04-04,19252
2012-04-05,18543
2012-04-06,16503
2012-04-07,12460
2012-04-08,12448
2012-04-09,17445
2012-04-10,19932
2012-04-11,20228
2012-04-12,19756
2012-04-13,18782
2012-04-14,13467
2012-04-15,14327
2012-04-16,20054
2012-04-17,20519
2012-04-18,20550
2012-04-19,20701
2012-04-20,19581
2012-04-21,13836
2012-04-22,15203
2012-04-23,21022
2012-04-24,21531
2012-04-25,20843
2012-04-26,20502
2012-04-27,19350
2012-04-28,13435
2012-04-29,13740
2012-04-30,18399
2012-05-01,18568
2012-05-02,20450
2012-05-03,20346
2012-05-04,19046
2012-05-05,13624
2012-05-06,14067
2012-05-07,19843
2012-05-08,20642
2012-05-09,20494
2012-05-10,20582
2012-05-11,19082
2012-05-12,12969
2012-05-13,13213
2012-05-14,19891
2012-05-15,20429
2012-05-16,19803
2012-05-17,18502
2012-05-18,17863
2012-05-19,11967
2012-05-20,12955
2012-05-21,19504
2012-05-22,21177
2012-05-23,20755
2012-05-24,20334
2012-05-25,18596
2012-05-26,11896
2012-05-27,12267
2012-05-28,16877
2012-05-29,20475
2012-05-30,20843
2012-05-31,19725
2012-06-01,18977
2012-06-02,12762
2012-06-03,13811
2012-06-04,19603
2012-06-05,20407
2012-06-06,20109
2012-06-07,20065
2012-06-08,18897
2012-06-09,12974
2012-06-10,13579
2012-06-11,19795
2012-06-12,20766
2012-06-13,20493
2012-06-14,20337
2012-06-15,18872
2012-06-16,12563
2012-06-17,12595
2012-06-18,19942
2012-06-19,20901
2012-06-20,20460
2012-06-21,20208
2012-06-22,18334
2012-06-23,12188
2012-06-24,12974
2012-06-25,19997
2012-06-26,21259
2012-06-27,20474
2012-06-28,19885
2012-06-29,18686
2012-06-30,12240
2012-07-01,12825
2012-07-02,19514
2012-07-03,20326
2012-07-04,18182
2012-07-05,19268
2012-07-06,19182
2012-07-07,12835
2012-07-08,13365
2012-07-09,20486
2012-07-10,21706
2012-07-11,21626
2012-07-12,21252
2012-07-13,20151
2012-07-14,12797
2012-07-15,13483
2012-07-16,20626
2012-07-17,21534
2012-07-18,21272
2012-07-19,20996
2012-07-20,19689
2012-07-21,12728
2012-07-22,13196
2012-07-23,20682
2012-07-24,21436
2012-07-25,20928
2012-07-26,20682
2012-07-27,19471
2012-07-28,12348
2012-07-29,13181
2012-07-30,20472
2012-07-31,20755
2012-08-01,20981
2012-08-02,20754
2012-08-03,19474
2012-08-04,12608
2012-08-05,13300
2012-08-06,20171
2012-08-07,21381
2012-08-08,21414
2012-08-09,21189
2012-08-10,20258
2012-08-11,13126
2012-08-12,13542
2012-08-13,21095
2012-08-14,21820
2012-08-15,20412
2012-08-16,20654
2012-08-17,19865
2012-08-18,13124
2012-08-19,13500
2012-08-20,21156
2012-08-21,22188
2012-08-22,22133
2012-08-23,21972
2012-08-24,20575
2012-08-25,13606
2012-08-26,14147
2012-08-27,21513
2012-08-28,22396
2012-08-29,22023
2012-08-30,22032
2012-08-31,20667
2012-09-01,13193
2012-09-02,14236
2012-09-03,19533
2012-09-04,22529
2012-09-05,23006
2012-09-06,22463
2012-09-07,21547
2012-09-08,14061
2012-09-09,15149
2012-09-10,22730
2012-09-11,23336
2012-09-12,23521
2012-09-13,23435
