date,count
2011-03-01,23558
2011-03-02,23318
2011-03-03,23116
2011-03-04,21671
2011-03-05,14751
2011-03-06,18709
2011-03-07,21709
2011-03-08,24800
2011-03-09,22436
2011-03-10,23000
2011-03-11,22391
2011-03-12,15860
2011-03-13,18232
2011-03-14,22615
2011-03-15,25083
2011-03-16,27180
2011-03-17,24301
2011-03-18,22679
2011-03-19,17011
2011-03-20,19417
2011-03-21,23629
2011-03-22,25507
2011-03-23,24901
2011-03-24,23646
2011-03-25,23146
2011-03-26,18364
2011-03-27,20359
2011-03-28,25866
2011-03-29,22117
2011-03-30,24610
2011-03-31,24843
2011-04-01,22705
2011-04-02,17111
2011-04-03,19777
2011-04-04,25814
2011-04-05,26958
2011-04-06,25360
2011-04-07,25052
2011-04-08,24290
2011-04-09,17252
2011-04-10,19577
2011-04-11,26254
2011-04-12,25082
2011-04-13,26090
2011-04-14,26863
2011-04-15,25612
2011-04-16,18091
2011-04-17,19319
2011-04-18,25039
2011-04-19,27114
2011-04-20,25412
2011-04-21,25584
2011-04-22,22042
2011-04-23,17207
2011-04-24,18268
2011-04-25,21398
2011-04-26,25623
2011-04-27,23493
2011-04-28,21963
2011-04-29,25164
2011-04-30,17310
2011-05-01,19009
2011-05-02,21498
2011-05-03,26744
2011-05-04,27769
2011-05-05,28684
2011-05-06,25242
2011-05-07,17176
2011-05-08,19256
2011-05-09,26605
2011-05-10,24086
2011-05-11,28529
2011-05-12,26164
2011-05-13,24970
2011-05-14,19276
2011-05-15,20194
2011-05-16,26376
2011-05-17,27367
2011-05-18,27549
2011-05-19,27382
2011-05-20,22640
2011-05-21,16676
2011-05-22,17816
2011-05-23,27853
2011-05-24,29776
2011-05-25,29084
2011-05-26,28698
2011-05-27,23124
2011-05-28,18039
2011-05-29,19024
2011-05-30,23306
2011-05-31,27621
2011-06-01,28297
2011-06-02,25150
2011-06-03,26180
2011-06-04,19301
2011-06-05,21082
2011-06-06,26789
2011-06-07,28503
2011-06-08,29301
2011-06-09,25981
2011-06-10,26012
2011-06-11,17715
2011-06-12,16876
2011-06-13,25435
2011-06-14,27153
2011-06-15,26470
2011-06-16,26828
2011-06-17,27165
2011-06-18,17468
2011-06-19,20748
2011-06-20,29036
2011-06-21,28545
2011-06-22,27545
2011-06-23,16592
2011-06-24,26663
2011-06-25,15398
2011-06-26,16848
2011-06-27,22473
2011-06-28,28628
2011-06-29,29829
2011-06-30,27966
2011-07-01,26210
2011-07-02,18147
2011-07-03,18243
2011-07-04,25371
2011-07-05,26411
2011-07-06,30191
2011-07-07,29736
2011-07-08,27858
2011-07-09,19703
2011-07-10,19487
2011-07-11,28106
2011-07-12,29815
2011-07-13,28918
2011-07-14,26717
2011-07-15,25727
2011-07-16,20070
2011-07-17,20641
2011-07-18,28896
2011-07-19,27636
2011-07-20,29026
2011-07-21,29337
2011-07-22,27074
2011-07-23,19240
2011-07-24,20379
2011-07-25,27965
2011-07-26,32336
2011-07-27,30313
2011-07-28,29500
2011-07-29,27086
2011-07-30,17422
2011-07-31,19959
2011-08-01,26692
2011-08-02,29964
2011-08-03,28775
2011-08-04,30264
2011-08-05,27428
2011-08-06,19633
2011-08-07,17508
2011-08-08,28423
2011-08-09,31078
2011-08-10,27264
2011-08-11,29210
2011-08-12,26876
2011-08-13,19628
2011-08-14,20431
2011-08-15,27440
2011-08-16,29846
2011-08-17,30955
2011-08-18,30023
2011-08-19,27818
2011-08-20,17616
2011-08-21,20881
2011-08-22,29470
2011-08-23,31479
2011-08-24,33261
2011-08-25,30997
2011-08-26,28739
2011-08-27,20392
2011-08-28,21296
2011-08-29,31840
2011-08-30,31326
2011-08-31,30991
2011-09-01,32061
2011-09-02,29556
2011-09-03,21006
2011-09-04,22469
2011-09-05,29469
2011-09-06,31770
2011-09-07,33910
2011-09-08,32263
2011-09-09,30012
2011-09-10,21583
2011-09-11,24118
2011-09-12,30947
2011-09-13,34395
2011-09-14,36274
2011-09-15,40309
2011-09-16,39574
2011-09-17,26185
2011-09-18,25348
2011-09-19,30100
2011-09-20,32167
2011-09-21,33157
2011-09-22,33199
2011-09-23,30808
2011-09-24,22867
2011-09-25,24900
2011-09-26,34665
2011-09-27,36484
2011-09-28,36191
2011-09-29,35425
2011-09-30,32614
2011-10-01,21850
2011-10-02,25672
2011-10-03,32834
2011-10-04,44723
2011-10-05,48302
2011-10-06,37721
2011-10-07,33322
2011-10-08,23180
2011-10-09,25266
2011-10-10,34366
2011-10-11,36466
2011-10-12,36279
2011-10-13,34563
2011-10-14,32906
2011-10-15,24074
2011-10-16,26623
2011-10-17,36201
2011-10-18,37665
2011-10-19,37772
2011-10-20,37498
2011-10-21,34793
2011-10-22,25187
2011-10-23,28312
2011-10-24,36750
2011-10-25,37462
2011-10-26,37400
2011-10-27,27474
2011-10-28,27428
2011-10-29,22821
2011-10-30,24626
2011-10-31,33232
2011-11-01,34970
2011-11-02,36947
2011-11-03,35230
2011-11-04,37097
2011-11-05,24217
2011-11-06,25723
2011-11-07,27261
2011-11-08,39901
2011-11-09,31069
2011-11-10,34626
2011-11-11,32368
2011-11-12,23528
2011-11-13,27324
2011-11-14,34764
2011-11-15,36717
2011-11-16,33053
2011-11-17,36551
2011-11-18,30596
2011-11-19,21831
2011-11-20,27771
2011-11-21,30340
2011-11-22,34506
2011-11-23,36941
2011-11-24,33601
2011-11-25,27382
2011-11-26,24570
2011-11-27,27671
2011-11-28,36600
2011-11-29,38778
2011-11-30,38026
2011-12-01,42363
2011-12-02,37777
2011-12-03,28797
