Date,Counter
2014-08-31 15:15:00,800
2014-08-31 15:30:00,685
2014-08-31 15:45:00,642
2014-08-31 16:00:00,637
2014-08-31 16:15:00,648
2014-08-31 16:30:00,802
2014-08-31 16:45:00,804
2014-08-31 17:00:00,814
2014-08-31 17:15:00,646
2014-08-31 17:30:00,628
2014-08-31 17:45:00,628
2014-08-31 18:00:00,641
2014-08-31 18:15:00,615
2014-08-31 18:30:00,607
2014-08-31 18:45:00,618
2014-08-31 19:00:00,625
2014-08-31 19:15:00,635
2014-08-31 19:30:00,753
2014-08-31 19:45:00,950
2014-08-31 20:00:00,876
2014-08-31 20:15:00,891
2014-08-31 20:30:00,986
2014-08-31 20:45:00,1100
2014-08-31 21:00:00,969
2014-08-31 21:15:00,1022
2014-08-31 21:30:00,987
2014-08-31 21:45:00,964
2014-08-31 22:00:00,996
2014-08-31 22:15:00,908
2014-08-31 22:30:00,797
2014-08-31 22:45:00,793
2014-08-31 23:00:00,891
2014-08-31 23:15:00,788
2014-08-31 23:30:00,798
2014-08-31 23:45:00,797
2014-09-01 00:00:00,788
2014-09-01 00:15:00,791
2014-09-01 00:30:00,811
2014-09-01 00:45:00,790
2014-09-01 01:00:00,775
2014-09-01 01:15:00,776
2014-09-01 01:30:00,668
2014-09-01 01:45:00,717
2014-09-01 02:00:00,725
2014-09-01 02:15:00,691
2014-09-01 02:30:00,703
2014-09-01 02:45:00,615
2014-09-01 03:00:00,746
2014-09-01 03:15:00,730
2014-09-01 03:30:00,760
2014-09-01 03:45:00,641
2014-09-01 04:00:00,609
2014-09-01 04:15:00,632
2014-09-01 04:30:00,612
2014-09-01 04:45:00,630
2014-09-01 05:00:00,727
2014-09-01 05:15:00,766
2014-09-01 05:30:00,675
2014-09-01 05:45:00,618
2014-09-01 06:00:00,649
2014-09-01 06:15:00,647
2014-09-01 06:30:00,663
2014-09-01 06:45:00,776
2014-09-01 07:00:00,630
2014-09-01 07:15:00,614
2014-09-01 07:30:00,713
2014-09-01 07:45:00,653
2014-09-01 08:00:00,617
2014-09-01 08:15:00,615
2014-09-01 08:30:00,656
2014-09-01 08:45:00,773
